1		Ditolak Saudi, Iran tidak bisa kirim jamaah haji untuk 2016		Menteri Kebudayaan dan Bimbingan Islam Iran Ali Jannati kemarin mengatakan Negeri Mullah itu tidak akan mengirimkan jamaah haji ke Arab Saudi tahun ini pada September nanti lantaran negosiasi dengan pemerintah Saudi gagal.Iran bahkan menuding Saudi telah menyabotase kesepakatan usai insiden jamaah haji tewas terinjak-injak di Mina tahun lalu. Sedikitnya 2.426 orang tewas dalam peristiwa terburuk dalam sejarah haji dan 464 di antaranya adalah warga Iran. Stasiun televisi ABC News melaporkan, Kamis (12/5), selama berbulan-bulan Iran dan Saudi mencoba merundingkan masalah haji ini tapi gagal mencapai kesepakatan. "Kami sudah lakukan semuanya tapi Saudi menyabotase. Kini semua sudah terlambat," ujar Jannati seperti dikutip kantor berita IRNA. "Tindakan mereka sangat dingin dan tidak pantas. Mereka tidak menerima proposal pengajuan visa, transportasi, dan keamanan para jamaah haji." "Pejabat Saudi bilang jamaah Iran harus pergi ke negara lain untuk meminta pengajuan visa," kata Jannati. Saudi memutus hubungan diplomatik pada Januari lalu menyusul penyerangan di kedutaan mereka di Teheran. Organisasi Haji Iran Said Ohadi mengatakan Riyadh juga menolak mencabut larangan penerbangan maskapai Iran untuk mengangkut jamaah haji ke Saudi. Peristiwa ini kian memperpanjang perseteruan antara dua negara kuat di Timur Tengah itu. Iran dan Saudi terlibat dalam perang di Suriah dalam posisi yang bertentangan. Arab Saudi dan sejumlah negara Islam Sunni lainnya mendukung pemberontak Suriah sedangkan Iran dan Rusia mendukung rezim pemerintah Basyar al-Assad.
2		Setelah kaos, polisi kini sita buku-buku berbau komunis		Di tengah desakan pengungkapan kasus 1965, aparat TNI-Polri tiba-tiba bergerak cepat menyisir berbagai hal yang dianggap berbau komunisme. Penyisiran dilakukan mulai dari kaos, hingga buku-buku yang bernilai akademis. Misalnya saja di wilayah eks Karesidenan Surakarta. Hasilnya Polres Sukoharjo menyita empat buah buku berjudul The Missing Link G 30 S dengan sub judul Misteri Sjam Kemaruzzaman & Biro Chusus PKI, di sebuah toko swalayan. Atas temuan tersebut, Komandan Korem 074/Warastratama Surakarta, Kolonel Infantri Maruli Simanjuntak menegaskan pihaknya terus mewaspadai kemungkinan penyebaran ajaran komunisme di wilayahnya. "Kami akan terus mewaspadai dan sudah menginstruksikan kepada tujuh Kodim di wilayah Surakarta untuk turun langsung. Penyebarannya bisa dalam bentuk atribut seperti kaos berlambang palu-arit, foto-foto tokoh komunis, serta buku-buku yang memuat ajaran komunisme," ujar Maruli saat dihubungi wartawan, Kamis (12/5). Maruli mengaku sudah melakukan sosialisasi ke sekolah-sekolah. Pasalnya, menurut dia, siswa merupakan sasaran empuk ajaran ini. Pihaknya juga berkoordinasi dengan para guru untuk mensosialisasikan bahwa PKI itu partai terlarang. Logo dan simbol palu aritnya juga tidak boleh dikenakan. "Kami juga menyebarkan semua anggota dan tim intelijen untuk memantau kemungkinan adanya gerakan komunisme. Baik lewat peredaran kaos berlambang palu-arit, logo, buku-buku, dan atribut PKI lainnya," pungkasnya. Polres Sukoharjo, Jawa Tengah menyita empat eksemplar buku bermuatan paham komunisme. Buku berjudul The Missing Link G 30 S dengan sub judul Misteri Sjam Kemaruzzaman & Biro Chusus PKI tersebut ditemukan di sebuah toko swalayan di Desa Gentan, Kecamatan Baki. Kapolres Sukoharjo, AKBP Andy Rifai mengatakan, buku yang disita tersebut berisi kisah Sjam Kaharuzzaman. Dia merupakan agen khusus dan saksi peristiwa Gerakan 30 September/PKI tahun 1965, yang belum diketahui fiktif atau nyata keberadaannya. "Kami menyita empat buku itu sebagai barang bukti. Tapi kami belum tahu apakah Sjam itu tokoh nyata atau fiktif," ujar Andy. Sementara itu, dari sebuah toko swalayan di Kabupaten Grobogan, Jawa Tengah, tujuh buku disita. Kapolres Grobogan Ajun Komisaris Besar Indra Darmawan membenarkan penyitaan buku tersebut. "Ada informasi dari masyarakat yang kemudian kami tindak lanjuti," ujar Indra. Indra menjelaskan pihaknya masih mendalami buku yang diduga berisi ajaran komunis tersebut. "Masih didalami isi dan maksud buku tersebut," katanya seperti dilansir dari Antara. Lebih jauh Indra menegaskan, sejumlah saksi akan dimintai keterangan untuk mengetahui apakah ada unsur melanggar hukum peredaran buku itu."Temuan ini juga telah dikoordinasikan dengan Polda Jawa Tengah penanganan lebih lanjut," pungkasnya.
3		Risma berpeluang dijagokan PDIP, 33 pendaftar bakal jadi korban PHP		Kantor Dewan Pimpinan Pusat (DPP) Partai Demokrasi Indonesia Perjuangan (PDIP) di Jalan Menteng, Jakarta Pusat, dipadati puluhan orang yang mendaftarkan diri menjadi bakal calon Gubernur DKI Jakarta. Beberapa wajah tak asing lagi. Ada mantan menteri era SBY, Yusril Ihza Mahendra, ada pengusaha muda Sandiaga Uno, dan politisi lain. Mereka mulai menjalani uji kelayakan dan kepatutan atau fit and proper test. Setelah itu mereka akan menjalani test psikologi. Dari 34 orang bakal calon, akan diseleksi menjadi hanya 5 orang. Setelah itu barulah seluruh calon kepala daerah yang diusung oleh PDIP diharuskan mengikuti semacam pelatihan. Dalam sekolah tersebut akan dipaparkan materi menyoal seputar reformasi birokrasi. Setelah semua proses dijalani, hasil penjaringan akan disodorkan ke petinggi PDIP. Pengamat politik dari The Political Literacy Institute Jakarta Gun Gun Heryanto menyarankan semua bakal calon yang sudah mendaftarkan diri ke PDIP tidak terlalu berharap banyak. Sebab, proses penjaringan bakal calon gubernur DKI yang dilakukan PDIP hanya sebagai strategi politik untuk memilih calon alternatif. "Belum tentu yang mendapat nilai tertinggi dalam fit and proper test otomatis jadi kandidat calon gubernur yang diusung PDIP. Karena keputusan terakhir masih ada Bu Mega (Ketua Umum PDIP Megawati Soekarnoputri)," ujar Gun Gun saat berbincang dengan merdeka.com, Rabu (11/5) malam. Gun Gun menuturkan, semua proses yang dijalankan PDIP bukan untuk memilih calon utama, melainkan hanya calon alternatif saja. Keputusan politik PDIP bisa saja berubah di detik-detik akhir. Apalagi masih ada peluang memberi 'tiket' pada Wali Kota Surabaya Tri Rismaharini untuk bertarung di Pilgub DKI Jakarta. "Oleh karena bergantung Bu Mega, maka siapapun yang ikut fit and proper test belum tentu jadi kandidat de facto PDIP. Injury time berubah, bisa saja Bu Risma. Jadi jangan terlalu berharap. Ya bisa jadi PHP (Pemberi Harapan Palsu)." Dia menganalisa sikap politik PDIP yang semula memberikan prioritas utama pada calon petahana Gubernur DKI Jakarta Basuki Tjahaja Purnama atau Ahok yang kemudian berubah karena konstalasi iklim politik. Kemudian muncul nama Risma yang digadang-gadang calon kuat untuk melawan Ahok. Peluang Risma semakin besar karena kader asli PDIP. Gun Gun memahami banyak politisi dan pengusaha berbondong-bondong datang dan rela mengikuti proses penjaringan PDIP karena partai berlambang banteng moncong putih ini satu-satunya yang berhak mengajukan calon sendiri. Karena besarnya peluang PDIP mengajukan calon sendiri, banyak yang berharap merebut tiket emas dari Megawati. Padahal, kata dia, proses penjaringan secara terbuka yang dilakukan PDIP, juga bisa dipandang sebagai bagian dari strategi politik menarik perhatian warga DKI Jakarta. "Jadi panggung PDIP juga," ucapnya. Sebelumnya, Ketua DPP PDIP Andreas Hugo Pareira menegaskan bahwa Wali Kota Surabaya Tri Rismaharini berpeluang besar untuk diusung partainya dalam persaingan Pilgub DKI 2017. Maka dari itu kemungkinan besar PDIP akan mempersiapkan Risma untuk melawan petahanan Gubernur DKI Jakarta Basuki Tjahaja Purnama. "Ada peluang kalau saya kira, cuma masih fifty-fifty," kata Andreas di Kantor DPP PDIP, Jakarta, Rabu (11/5). Menurut Andreas, nama Risma bisa dimunculkan secara mudah melalui proses internal PDIP. "Ini kan ibaratnya main kartu. Lu kasih keluar kartu yang mana, gue kasih keluar kartu yang mana," tuturnya.
4		Ngaku cinta alam? Jangan pernah lakukan 5 hal ini pada pantai kita!		Meskipun traveller tak bertanggungjawab bermunculan di mana-mana, tampaknya cukup banyak penikmat alam yang sudah mulai menyadari pentingnya menjaga kelestarian lingkungan. Berawal dari kebiasaan kecil, tidak meninggalkan sampah di lokasi wisata yang dikunjungi. Ini merupakan langkah yang baik untuk menjaga alam nusantara dari tangan-tangan jahil. Namun sekadar mematuhi slogan 'leave nothing but footprints' pun ternyata belum cukup. Beberapa kegiatan menyenangkan yang biasa kita lakukan di pantai pun ternyata bisa membahayakan ekosistem laut di sekitarnya.  Apa saja yang harus kita hindari saat main di pantai? Berikut ini beberapa hasil penelitian yang dikumpulkan Mashable. 1. Meninggalkan sampah di area pantai. Larangan yang satu ini mungkin sudah diketahui semua orang. Namun perlu digarisbawahi sekali lagi, sampah yang kita tinggalkan tidak hanya berdampak pada pantai. Hewan dan tumbuhan yang hidup di sana juga ikut menelan kerugiannya. Burung-burung yang mati karena tersedak sampah, penyu dengan tempurung yang tumbuh tak normal karena terikat plastik, atau anjing laut yang terjerat jaring bekas adalah beberapa contoh nyata. Bahkan sampah kecil seperti puntung rokok pun mengandung karsinogen dan bahan kimia yang kerap berakhir di dalam saluran pencernaan hewan-hewan tersebut. 2. Berjalan di atas gundukan pasir. Kamu pasti sering menemukan gundukan pasir yang ditumbuhi rerumputan di sekitar pantai. Gundukan pasir ini ternyata berfungsi melindungi pantai dari erosi. Jadi pastikan untuk tidak menginjak gundukan pasir atau mencabut rumput yang tumbuh di dekatnya. 3. Menggunakan tabir surya berbahan oksibenzon. oksibenzon merupakan bahan kimia yang biasa ditemukan dalam tabir surya, bisa memperburuk fenomena pemutihan terumbu karang, bahkan bisa menyebabkan kerusakan hingga ke tingkat DNA. Kadar oksibenzon dalam produk tabir surya yang kamu pakai memang tidak seberapa, namun alangkah baiknya jika kita bisa menghindari pengrusakan lebih jauh terhadap ekosistem pantai. Meskipun hanya dengan hal remeh seperti memilih tabir surya yang ramah lingkungan. 4. Mengumpulkan kerang. Menurut Smithsonian Magazine, mengambil kerang dari pantai berkontribusi terhadap peningkatan erosi dan penurunan 'keragaman hewan serta tumbuhan yang bergantung pada keberadaan kerang.' 5. Membuang sampah ke dalam sistem saluran pembuangan. Yang satu ini memang bukan termasuk aktivitas yang biasa kita lakukan di pantai. Namun menghindarinya merupakan langkah penting untuk menjaga kelestarian pantai dan sekitarnya. Pastikan untuk tidak membuang pestisida berbasis bahan kimia, cat, minyak, kosmetik, pembersih kimia, atau obat kadaluwarsa di saluran air. Kemungkinan besar, sampah-sampah ini akan dibuang ke sungai dan bermuara ke laut. Itulah beberapa aktivitas sederhana yang perlu kita hindari demi kelestarian pantai dan laut kita.
5		Logo baru Instagram jadi bahan sindiran di Twitter		Kamera polaroid jadul berwarna coklat dengan tambahan warna pelangi sudah menjadi logo legendaris Instagram sejak pertama muncul tahun 2010 lalu. Namun di bulan Mei 2016 ini, Instagram memutuskan untuk mengubah logo mereka. Perubahan logo baru ini masih mirip dari ikon aplikasi sebelumnya, bedanya logo kamera lebih sederhana dan berwarna pelangi berbentuk gradien. Logo ini memang mengikuti tren tahun 2015-2016 yang masih berkiblat pada desain simple nan warna-warni. Menurut Instagram, desain ini terinspirasi dari komunitas Instagram yang sudah tumbuh dan berkembang selama lima tahun terakhir, mulai sebagai tempat untuk membagikan foto berfilter hingga video. "Terima kasih sudah menghidupkan komunitas ini dan memberinya warna. Anda membuat Instagram sebagai tempat untuk menemukan banyak keajaiban di dunia. Setiap foto dan video - dari hal-hal kecil hingga yang luar biasa - membuka jendela untuk memperluas pengalaman dan terhubung dengan cara baru," tulis pihak Instagram, seperti press release yang diterima merdeka.com (12/5). Akan tetapi, logo baru ini ternyata banyak mendapat sindiran dan bahan olok-olokan di Twitter. Mayoritas menganggap loga baru Instagram terlihat kuno dan terkesan 'amatiran'. Mereka juga mengungkapkan bila Instagram sebenarnya tidak membutuhkan logo baru. "Bukannya aku tidak suka logo baru @Instagram, tapi ini mungkin adalah keputusan terburuk yang pernah mereka buat," tulis akun Twitter @aponisaac. Ada juga yang mengibaratkan logo baru Instagram mirip mesin cuci. "Aku tak tahu kalau @Instagram buat mesin cuci," tulis akun @JonylvParody. Berikut adalah netizen yang melihat logo baru Instagram mirip terinspirasi dari Microsoft Power Point.
6		Kasus Yuyun, pelaku ngaku sudah rencanakan pemerkosaan sejak malam		Menteri Sosial, Khofifah Indar Parawansa, terbang ke Bengkulu untuk mengetahui secara langsung kasus pemerkosaan dan pembunuhan Yuyun (14). Selain bertemu dengan keluarga Yuyun, Menteri Khofifah sempat menemui para pelaku untuk mendengar pengakuan mereka. Dari pengakuan tersangka padanya, perbuatan keji terhadap korban sudah direncanakan sejak malam hari. "Dari anak-anak di bawah 18 tahun yang saya temui, mereka malam sudah diajak merencanakan itu," kata Khofifah di Pemalang. Demikian dikutip dari Antara, Sabtu (7/5). Sebelum melancarkan aksinya, pelaku mengadakan pesta miras. Pagi itu pula, seorang dari pelaku ditugaskan membawa korban ke tempat mereka berkumpul. "Paginya diajak minum minuman, ada yang ditugaskan untuk membawa si almarhumah dari jalan untuk dibawa ke semak-semak," tutur Khofifah. Melihat kejinya ulah pelaku, dia berharap para tersangka khususnya yang berumur di atas 17 tahun dihukum seberat-beratnya dengan pasal berlapis. "Bagi pelaku di atas 18 tahun saya setuju dihukum menggunakan pasal berlapis, yang artinya bisa dilakukan pemberatan sampai hukuman mati. Karena ini sesuatu yang direncanakan," tegasnya. Sementara hukuman pada pelaku dengan usia di bawah 18 tahun harus didasarkan pada Undang-Undang Sistem Peradilan Pidana Anak. "Kalau pelaku di bawah 18 tahun menurut Undang-Undang Sistem Peradilan Pidana Anak itu separuhnya. Dan juga setelah dia disidangkan dan dinyatakan bersalah tidak bisa dibawa ke lapas, tapi dibawa ke pembinaan khusus anak," ungkap Khofifah. Dalam kesempatan yang sama, Khofifah menyatakan peraturan pemerintah pengganti undang-undang (perppu) mengenai hukuman kebiri sedang difinalisasi di Kementerian Koordinator bidang Pembangunan Manusia dan Kebudayaan. Dikatakan dia, menyebut opsi hukuman kekerasan seksual ialah kebiri dengan batas waktu, atau pemberatan hukuman penjara seumur hidup atau hukuman mati.
7		Iris bawang merah untuk sembuhkan gatal hingga redakan kram haid		Selain bawang putih yang kaya akan manfaat sehat, keluarga dari bawang-bawangan lainnya juga tinggi akan manfaat sehat lho. Salah satunya adalah bawang merah. Memang mengupas dan mengiris bawang merah mampu membuat mata menjadi pedih. Namun di balik rasa pedih tersebut, bawang merah memiliki banyak manfaat sehat lho seperti yang dijelaskan di bawah ini. Bawang merah memiliki sifat anti inflamasi di dalamnya. Sehingga saat dioleskan di kulitmu yang sedang terluka, maka bisa membantu menghentikan peradangannya. Kamu baru saja digigit nyamuk dan meninggalkan bekas bentol? Segera iris bawang merah dan oleskan getahnya di kulitmu. Sebab getahnya bisa meredakan rasa sakit atau gatal dan menghindarkan iritasi akibat digigit serangga. Jika kamu mulai rajin untuk mengonsumsi bawang merah mentah, jangan heran jika kamu tidak menderita nyeri menstruasi. Sebab lagi-lagi hal ini dikarenakan sifat anti inflamasi dari bawang merah. Saat kamu merasa bahwa kulit kakimu tidak sedap untuk dipandang, segera gosok dengan bawang merah. Maka kakimu akan terlihat lebih cantik. Tiba-tiba mendapat serangan flu? Cobalah untuk membungkus kaki dengan kaus kaki dan menyelipkan bawang merah di dalamnya dan kemudian tidurlah. Bawang merah akan merangsang titik meridian di kaki kamu untuk membantu meringankan demam serta menurunkan suhu tubuh. Saat kamu mengalami mual, cobalah untuk mengonsumsi bawang merah untuk meredakannya. Rambutmu lambat sekali tumbuh panjang? Cobalah untuk mengoleskan bawang merah di kulit kepala. Sebab bawang merah akan merangsang folikel rambut dan membuatmu tumbuh lebih cepat.
8		Ini Kronologi Pemerkosaan Yuyun di Bengkulu		Koordinator Divisi Pelayanan Cahaya Perempuan Women's Crisis Center (WCC) Bengkulu, Desi Wahyuni, menceritakan kasus yang menimpa Yuyun (14). Pemerkosaan terhadap siswi kelas VIII SMP di Kecamatan Padang Ulak Tanding (PUT), Kabupaten Rejang Lebong, Provinsi Bengkulu, ini bermula saat 14 tersangka pada Sabtu 2 April 2016, sekira pukul 11.31 WIB, berkumpul di rumah salah seorang tersangka berinisial DE dan meminum tuak. Kemudian sekira pukul 12.31 WIB, dalam keadaan mabuk, ke-14 tersangka keluar dari rumah dan duduk di tepi jalan perkebunan karet di Desa Kasie Kasubun, Kecamatan Padang Ulak Tanding (PUT). Selanjutnya, kata Desi, sekira pukul 13.31 WIB, para pelaku yang sedang berkumpul itu melihat korban pulang sendirian. Korban pulang dengan membawa alas meja dan bendera merah putih untuk dicuci persiapan upacara bendera hari Senin. ''Jarak dari sekolah ke rumah korban berjarak kurang lebih 1 kilometer dan melintas jalan atau sawangan kebun karet,'' kata Desi, Rabu (4/5/2016). Hasil penelusuran Tim Cahaya Perempuan di lapangan, lanjut Desi, para pelaku yang melihat Yuyun langsung mencegat dan menyekapnya. Kepala Yuyun diduga dipukul menggunakan kayu, kaki dan tangannya diikat, kemudian lehernya dicekik. Lalu secara bergiliran pelaku memerkosa Yuyun. Bahkan, kata Desi, ada pelaku yang diduga mengulangi perbuatannya dua hingga tiga kali. Tidak sampai di situ, jelasnya, hasil tim di lapangan pelaku kemudian memukuli korban, mengikat, dan membuang tubuh korban ke jurang sekira beberapa meter. ''Pelaku menutupi korban dengan dedaunan dan kembali ke rumah masing-masing. Dari hasil visum korban sudah meninggal saat pemerkosaan sedang berlangsung,'' terangnya. Desi kembali menceritakan, pada Minggu 3 April 2016, orangtua korban pulang dari kebun mereka dan langsung mencari bersama warga hingga malam hari. Namun, lanjut Desi, korban belum ditemukan. ''Pada malam itu keluarga korban melakukan Yasinan bersama warga di rumah korban,'' ulas Desi. Kemudian pada Senin 4 April 2016, sekira pukul 13.01 WIB, mayat korban ditemukan pertama kali oleh Da (45) dalam kondisi setengah bugil tertutup daun pakis. Dengan posisi badan tertelungkup, tangan terikat dari atas masuk ke bawah paha. ''Saat ditemukan kondisi muka korban terdapat bekas lebam pukulan dan tanda kekerasan di bagian kemaluan korban,'' tegasnya. Desi menambahkan, pada Jumat 8 April 2016, kepolisian menggelar operasi penangkapan dan berhasil membekuk tiga tersangka, yakni Dedi Indra Muda (19), Tomi Wijaya (19), dan Dahlan (17). Dari kerja keras petugas kepolisian setempat, tambah Desi, pada Sabtu 9 April 2016, sekira pukul 03.01 WIB, kembali diringkus sembilan tersangka lainnya yakni Suket (19), Bobi (20), Faisal (19), Zainal (23), Febriansyah Saputra (18), Sulaimansyah (18), AL (17), SU (16), dan EK (16) yang masih berstatus pelajar serta kakak kelas korban di SMP tempat korban bersekolah ''Para tersangka berasal dari Desa Kasie Kasubun, dan rata-rata tidak bersekolah lagi. Saat ini dua pelaku lagi dalam pencariann,'' jelas Desi. Tidak ingin menunggu lebih lama dalam proses hukum, kata Desi, pada Senin 19 April 2016, Polres Rejang Lebong telah melakukan rekonstruksi pemerkosaan sekaligus pembunuhan terhadap Yuyun. Dalam rekonstruksi ulang ada sekira 65 adegan yang diperagakan pelaku. ''Dalam rekonstruksi terungkap sebelum diperkosa korban terlebih dahulu dipukul dengan kayu, kaki korban diikat lalu digilir oleh 14 orang tersangka,'' ungkap Desi. Ia kembali menjelaskan, sidang pertama pada Rabu 23 April 2016 dengan agenda pemeriksaan saksi. Saksi dalam kasus pemerkosaan ini berjumlah tiga orang, yakni ayah korban berinisial Ya, ibu korban Yn, dan tetangga korban Da. Saat keluar dari persidangan, kata Desi, para pelaku menemui orangtua korban dan meminta maaf. Bahkan, ada salah seorang pelaku yang bersimpuh di kaki ibu korban. ''Ibu korban berkata tidak akan memaafkan pelaku sampai mati. Sedangkan ayah korban hanya diam, melamun dengan muka yang pucat,'' ulas Desi lagi. Perlu diketahui, pada Selasa 3 Mei 2016, sidang dengan agenda pembacaan tuntutan kepada tujuh terdakwa dalam kasus pemerkosaan Yuyun. Jaksa menuntut mereka 10 tahun penjara. Sedangkan tersangka dewasa masih proses pelimpahan ke Kejaksaan Negeri (Kejari) Rejang Lebong. ''Sidang selanjutnya dan jadwal sidang selanjutnya masih menunggu informasi dari pengadilan,'' pungkas Desi.
9		Presiden Brasil Dilma Roussef dipecat		Parlemen Brasil hari ini akhirnya memutuskan memakzulkan Presiden Dilma Rousseff di tengah krisis ekonomi yang kian memburuk sejak 1930-an. Brasil juga saat ini tinggal 85 hari lagi menggelar Olimpiade Rio de Janeiro. Stasiun televisi NBC News melaporkan, Kamis (12/5), setelah semalaman menggelar rapat dan dengar pendapat, anggota parlemen Brasil akhirnya melakukan pemungutan suara yang hasilnya 55 suara setuju Roussef dilengserkan dan sisanya 22 orang tidak setuju. Rousseff dilengserkan atas tuduhan korupsi anggaran negara. Alhasil, Wakil Presiden Michel Temer akan menggantikan posisi Rousseff di saat dia menjalani persidangan pemakzulan yang maksimal berlangsung hingga enam bulan. Temer sendiri juga saat ini dalam penyelidikan atas tuduhan korupsi. "Kami sudah tidak bisa lagi mengabaikan kejahatan ini dan karena itu memilih pemakzulan," ujar Alvaro Dias, senator dari Partai Hijau. Rousseff berang dengan keputusan parlemen itu. Wanita 68 tahun itu mengatakan langkah parlemen itu adalah kudeta dan melecehkan konstitusi. Rousseff yang menjabat presiden sejak 2011 popularitasnya terus menurun seiring krisis ekonomi melanda Brasil. Penyelidikan kasus korupsi di perusahaan minyak negara Petrobras terhadap Rousseff sudah berlangsung selama dua tahun terakhir.
10		Pebalap Indonesia penuhi podium, tak beri kesempatan tuan rumah		Dua pebalap muda bernyali Tim Suzuki Indonesia kembali menunjukan dominasinya di lintasan sirkuit Internasional. Panggung podium Suzuki Asian Challenge (SAC) 2016 seri 2 yang diadakan di Chang International Circuit, Buriram, Thailand 6 8 Mei 2016 kemarin kembali diwarnai kebahagiaan pebalap Indonesia yang berhasil menjuarai dua race yang diselenggarakan. M. Sapril dan Jefri Tosema tampil memukau dihadapan pebalap negara lain yang menjadi lawan, bahkan mereka berdua tidak memberi kesempatan bagi pebalap tuan rumah untuk mengalahkannya. Pengalaman pertama bagi ketiga pebalap Indonesia (M. Sapril, Jefri Tosema dan Rizal Feriyadi) merasakan balap di Chang International Circuit, Buriram, Thailand menumbuhkan antusiasme dan semangat tambahan dalam menghadapi balap. Selain itu, pada seri 2 ini SAC 2016 baru mulai memperkenalkan sekaligus menggunakan motor balap baru yaitu menggunakan Suzuki All New Satria F150 (Suzuki New F150) yang telah disesuaikan dengan spesifikasi balap. Dengan motor balap baru tersebut, seluruh pebalap mampu tampil lebih percaya diri dan melesat lebih kencang. Penggunaan motor balap baru Suzuki New F150 menjadi keuntungan bagi seluruh pebalap. Terbukti sejak Race 1 (7 Mei 2016) terjadi persaingan ketat antar pebalap berkat akselerasi serta performa motor baru yang lebih besar dan handling lebih baik sehingga menciptakan pertandingan yang lebih menarik dan menegangkan.  M. Sapril memulai balap dari posisi start ke-2 dan Jefri Tosema dari posisi ke-6, namun sangat disayangkan Rizal Feriyadi tidak dapat mengikuti jalannya Race 1 dan 2 dikarenakan mengalami kecelakaan saat sesi Free Practice sehingga tidak dianjurkan untuk terus mengikuti balap oleh tim medis SAC 2016. Meski hanya berdua mewakili Tim Indonesia, M. Sapril dan Jefri Tosema justru tidak ingin tampil sekedarnya. Mereka ingin membuktikan bahwa Tim Indonesia tetap optimis menjuarai balapan dan akhirnya mereka benar-benar mewujudkan tekad tersebut.  Nyali dan skill mereka sebagai pebalap muda terbaik mampu membawa mereka mendominasi jalannya Race 1 hingga menyelesaikan 7 lap dengan hasil menempati posisi juara 1 dan 2. Adaptasi terhadap sirkuit dan motor balap baru mampu mereka lakukan secara cepat. Alhasil podium Race 1 menjadi milik Indonesia secara membanggakan. Pembalap muda Indonesia 2016 Merdeka.com "Saya bangga pastinya akan hasil Race 1, dan beberpa kesulitan yang saya alami pada seri Johor lalu dapat saya atasi di Buriram ini, terlebih saat saya tau bahwa mesin akan di ganti ke mesin generasi terbaru Suzuki yakni All New Satria F150 maka saya lebih optimis, karena memang mesin Satria baru injeksi ini sangat besar potensinya dan lebih mudah dari sisi handling," ujar M. Sapri, dalam press release yang diterima merdeka.com (9/5). Kebahagiaan prestasi di Race 1 menambah semangat M. Sapril dan Jefri Tosema untuk kembali tampil menakjubkan di Race 2 (8 Mei 2016). Sedikit berbeda dari Race 1, Jefri Tosema mampu tampil lebih agresif hingga sempat memimpin jalannya balap di putaran awal. Namun karakter tikungan terakhir (R12) Chang International Circuit yang membutuhkan pengalaman khusus menjadi kendala tersendiri bagi pebalap Indonesia yang masih tergolong awam dengan sirkuit Negeri Gajah Putih tersebut. Tekanan terbesar hadir dari pemilik kelasemen poin tertinggi yaitu M. Rozaliman asal Malaysia yang terus memberikan perlawanan bagi pebalap Indonesia. Kejelian M. Rozaliman menaklukan tikungan terakhir pada final lap memperbaiki posisinya hingga akhirnya finish di posisi pertama, M. Sapril dan Jefri Tosema sudah berupaya untuk kembali menempel M. Rozaliman, namun jarak garis finish yang sangat dekat dari tikungan menahan impian mereka untuk menjadi yang terdepan. Meski demikian selisih waktu saat melintas garis finish sangat tipis hingga akhirnya M. Sapril dan Jefri Tosema secara berurutan menguasai posisi 2 dan 3. Hasil tersebut tetap menempatkan pebalap Indonesia untuk tampil kembali di podium. Kemenangan pada Race 1 dan 2 di seri 2 tersebut jelas didominasi pebalap Indonesia yang secara konsisten menunjukan kemampuannya sehingga layak disegani pebalap dari negara-negara lain. "Saya banyak mengambil hikmah untuk seri dua di Thailand ini, meski saya sempat memimpin di beberapa lap awal, saya justru lengah di tikungan terakhir, dan semenjak motor balap diganti ke versi terbaru (All New Satria F150) nampaknya pebalap lain jadi bisa lebih mengimbangi saya, kondisi ini menjadi hal baru yang harus lebih saya waspadai untuk seri-seri berikutnya," ujar Jefri Tosema. Pembalap muda Indonesia 2016 Merdeka.com Hasil Suzuki Asian Challenge 2016 seri  Race 1 1. M. Sapril (#87) Indonesia 2. Jefri Tosema (#20) Indonesia 3. Eane Jaye (#22) Philippine Race 2 1. M. Rozaliman (#12) Malaysia 2. M. Sapril (#87) Indonesia 3. Jefri Tosema (#20) Indonesia Standing Poin SAC 2016 1. M. Rozaliman Malaysia 76 poin 2. M. Sapril Indonesia 67 poin 3. Jefri Tosema Indonesia 61 poin ... 6. Rizal Feriyadi Indonesia 32 poin
